Température,Taux,Espèce,Capteur,Date
15.0,2.3,Cladophora,Capteur_A,2025-07-01
18.2,2.9,Cladophora,Capteur_B,2025-07-01
20.0,3.5,Spirogyra,Capteur_A,2025-07-02
21.1,3.7,Cladophora,Capteur_C,2025-07-03
22.5,4.0,Spirogyra,Capteur_A,2025-07-04
25.0,4.6,Cladophora,Capteur_B,2025-07-04
26.8,4.9,Spirogyra,Capteur_A,2025-07-05
28.0,5.1,Cladophora,Capteur_C,2025-07-06
30.2,5.3,Spirogyra,Capteur_A,2025-07-07
31.5,5.5,Cladophora,Capteur_B,2025-07-07
29.8,5.2,Spirogyra,Capteur_C,2025-07-08
27.6,4.8,Cladophora,Capteur_A,2025-07-08
26.0,4.5,Spirogyra,Capteur_B,2025-07-09
24.3,4.2,Cladophora,Capteur_C,2025-07-09
23.1,4.0,Spirogyra,Capteur_A,2025-07-10
21.7,3.7,Cladophora,Capteur_B,2025-07-10
20.5,3.6,Spirogyra,Capteur_C,2025-07-11
19.8,3.4,Cladophora,Capteur_A,2025-07-11
18.4,3.2,Spirogyra,Capteur_B,2025-07-12
17.2,3.0,Cladophora,Capteur_C,2025-07-12
16.5,2.8,Spirogyra,Capteur_A,2025-07-13
15.9,2.7,Cladophora,Capteur_B,2025-07-13
15.4,2.6,Spirogyra,Capteur_C,2025-07-14
16.2,2.9,Cladophora,Capteur_A,2025-07-14
17.8,3.1,Spirogyra,Capteur_B,2025-07-15
19.0,3.3,Cladophora,Capteur_C,2025-07-15
20.1,3.5,Spirogyra,Capteur_A,2025-07-16
21.4,3.7,Cladophora,Capteur_B,2025-07-16
22.8,4.0,Spirogyra,Capteur_C,2025-07-17
24.0,4.2,Cladophora,Capteur_A,2025-07-17
25.3,4.5,Spirogyra,Capteur_B,2025-07-18
26.7,4.7,Cladophora,Capteur_C,2025-07-18
28.1,4.9,Spirogyra,Capteur_A,2025-07-19
29.5,5.1,Cladophora,Capteur_B,2025-07-19
30.7,5.3,Spirogyra,Capteur_C,2025-07-20
31.9,5.4,Cladophora,Capteur_A,2025-07-20
33.2,5.6,Spirogyra,Capteur_B,2025-07-21
34.5,5.8,Cladophora,Capteur_C,2025-07-21
35.0,6.0,Spirogyra,Capteur_A,2025-07-22
33.8,5.7,Cladophora,Capteur_B,2025-07-22
32.4,5.5,Spirogyra,Capteur_C,2025-07-23
31.0,5.3,Cladophora,Capteur_A,2025-07-23
29.7,5.1,Spirogyra,Capteur_B,2025-07-24
28.3,4.9,Cladophora,Capteur_C,2025-07-24
27.0,4.7,Spirogyra,Capteur_A,2025-07-25
25.8,4.5,Cladophora,Capteur_B,2025-07-25
24.5,4.3,Spirogyra,Capteur_C,2025-07-26
23.3,4.1,Cladophora,Capteur_A,2025-07-26
22.1,3.9,Spirogyra,Capteur_B,2025-07-27
21.0,3.7,Cladophora,Capteur_C,2025-07-27
