Température,Taux,Espèce,Capteur,Date
25.3,21.2,Maïs,capteur-01,2023-06-01
22.6,18.0,Blé,capteur-02,2023-06-03
23.8,19.4,Arabidopsis,capteur-03,2023-06-04
28.1,,Arabidopsis,capteur-01,2023-06-01
21.9,16.7,Blé,capteur-02,2023-06-01
25.5,17.8,Maïs,capteur-03,2023-06-03
24.0,20.1,Maïs,capteur-02,2023-06-02
25.2,17.4,Arabidopsis,capteur-01,2023-06-03
28.3,22.2,Blé,capteur-03,2023-06-05
26.4,18.9,Maïs,capteur-02,2023-06-04
22.8,17.1,Blé,capteur-01,2023-06-02
24.3,18.7,Arabidopsis,capteur-03,2023-06-01
25.1,18.0,Maïs,capteur-01,2023-06-02
26.0,19.8,Arabidopsis,capteur-02,2023-06-03
27.2,20.4,Blé,capteur-01,2023-06-04
23.7,19.0,Blé,capteur-02,2023-06-05
22.5,18.2,Arabidopsis,capteur-01,2023-06-01
24.1,19.3,Arabidopsis,capteur-02,2023-06-01
28.0,20.5,Maïs,capteur-03,2023-06-02
24.5,17.7,Maïs,capteur-02,2023-06-04
26.9,,Blé,capteur-01,2023-06-05
23.2,16.9,Arabidopsis,capteur-03,2023-06-03
25.9,20.0,Blé,capteur-02,2023-06-02
24.6,19.2,Maïs,capteur-01,2023-06-01
26.3,21.1,Arabidopsis,capteur-02,2023-06-05
27.5,22.0,Blé,capteur-03,2023-06-02
23.3,18.1,Maïs,capteur-01,2023-06-03
22.7,17.0,Blé,capteur-03,2023-06-04
26.8,20.2,Arabidopsis,capteur-02,2023-06-05
24.9,18.6,Maïs,capteur-01,2023-06-04
25.4,19.9,Arabidopsis,capteur-03,2023-06-02
26.5,21.0,Blé,capteur-02,2023-06-01
23.0,,Maïs,capteur-01,2023-06-05
25.8,20.7,Blé,capteur-03,2023-06-04
22.1,17.2,Arabidopsis,capteur-01,2023-06-03
28.6,22.4,Maïs,capteur-02,2023-06-01
23.4,18.3,Blé,capteur-01,2023-06-05
24.7,18.5,Maïs,capteur-03,2023-06-03
21.8,15.9,Arabidopsis,capteur-02,2023-06-01
27.6,21.9,Maïs,capteur-01,2023-06-05
23.6,18.8,Blé,capteur-03,2023-06-02
24.2,17.6,Arabidopsis,capteur-01,2023-06-03
25.0,19.5,Maïs,capteur-02,2023-06-04
26.6,21.3,Blé,capteur-01,2023-06-01
27.1,20.6,Arabidopsis,capteur-02,2023-06-04
23.5,17.5,Blé,capteur-03,2023-06-03
22.9,16.8,Maïs,capteur-01,2023-06-02
26.2,20.9,Arabidopsis,capteur-03,2023-06-05
27.0,21.5,Blé,capteur-02,2023-06-05
