Température,Taux,Espèce,Capteur,Date
15.0,2.3,Cladophora,Capteur_A,2025-07-01
18.2,2.9,Cladophora,Capteur_B,2025-07-01
20.0,3.5,Spirogyra,Capteur_A,2025-07-02
21.1,3.7,Cladophora,Capteur_C,2025-07-03
22.5,4.0,Spirogyra,Capteur_A,2025-07-04
25.0,4.6,Cladophora,Capteur_B,2025-07-04
26.8,4.9,Spirogyra,Capteur_A,2025-07-05
28.0,5.1,Cladophora,Capteur_C,2025-07-06
30.2,5.3,Spirogyra,Capteur_A,2025-07-07
19.7,3.3,Cladophora,Capteur_A,2025-07-08
19.7,3.4,Spirogyra,Capteur_B,2025-07-08
20.0,3.4,Cladophora,Capteur_C,2025-07-08
22.7,3.5,Spirogyra,Capteur_A,2025-07-09
17.0,2.9,Cladophora,Capteur_B,2025-07-09
23.9,3.8,Spirogyra,Capteur_C,2025-07-09
17.4,2.6,Cladophora,Capteur_A,2025-07-10
35.0,5.5,Spirogyra,Capteur_B,2025-07-10
17.2,3.0,Cladophora,Capteur_C,2025-07-10
32.4,5.2,Spirogyra,Capteur_A,2025-07-11
28.6,4.6,Cladophora,Capteur_B,2025-07-11
33.4,5.5,Spirogyra,Capteur_C,2025-07-11
25.6,3.8,Cladophora,Capteur_A,2025-07-12
25.3,3.8,Spirogyra,Capteur_B,2025-07-12
34.1,5.5,Cladophora,Capteur_C,2025-07-12
28.0,4.7,Spirogyra,Capteur_A,2025-07-13
19.6,3.0,Cladophora,Capteur_B,2025-07-13
23.1,3.6,Spirogyra,Capteur_C,2025-07-13
27.6,4.6,Cladophora,Capteur_A,2025-07-14
22.5,3.4,Spirogyra,Capteur_B,2025-07-14
31.1,4.9,Cladophora,Capteur_C,2025-07-14
27.2,4.3,Spirogyra,Capteur_A,2025-07-15
35.0,5.6,Cladophora,Capteur_B,2025-07-15
28.6,4.3,Spirogyra,Capteur_C,2025-07-15
25.7,4.4,Cladophora,Capteur_A,2025-07-16
27.4,4.2,Spirogyra,Capteur_B,2025-07-16
33.7,5.4,Cladophora,Capteur_C,2025-07-16
24.3,3.7,Spirogyra,Capteur_A,2025-07-17
21.3,3.7,Cladophora,Capteur_B,2025-07-17
27.1,4.6,Spirogyra,Capteur_C,2025-07-17
21.9,3.5,Cladophora,Capteur_A,2025-07-18
26.3,4.0,Spirogyra,Capteur_B,2025-07-18
16.3,2.8,Cladophora,Capteur_C,2025-07-18
34.0,5.3,Spirogyra,Capteur_A,2025-07-19
15.6,2.4,Cladophora,Capteur_B,2025-07-19
20.6,3.2,Spirogyra,Capteur_C,2025-07-19
25.1,4.1,Cladophora,Capteur_A,2025-07-20
32.5,5.2,Spirogyra,Capteur_B,2025-07-20
22.9,4.0,Cladophora,Capteur_C,2025-07-20
33.9,5.2,Spirogyra,Capteur_A,2025-07-21
18.8,2.8,Cladophora,Capteur_B,2025-07-21
